,text,intent
683,3 mẫu áo này con ko shop,3
684,nguyên bộ này con ko e,3
685,sz s còn mẫu nào ko e,3
686,con mẫu nào nua ko e,3
687,sz m,2
688,vay bên e còn mẫu quần jean nào ko e,3
689,2 mẫu quần này còn ko shop,3
690,vay goi mat kinh voi nuoc hoa cho c nha,6
691,shop oi con quân ko,3
692,quan nay con ko shop,3
693,lay đong hồ luôn,6
694,con đong hồ ko e,3
695,cua c bao nhieu tien zay,3
696,quần nay con ko shop,3
697,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
698,zay lay c 2 thu đó,6
699,nuoc hoa kinh nuoc hoa channel,6
700,nay con ko shop,3
701,e đặt quần,6
702,đầm nay con ko shop,3
703,bên shop còn mẫu quần jean lưng cao nào mà còn ko shop,3
704,nay con ko shop,3
705,2 mẫu quần nay còn ko shop,3
706,mẫu quần nay còn ko shop,3
707,quân con sz m ko shop,3
708,liên hệ tư vấn viên,5
709,set nay màu này còn ko shop,3
710,nay con ko,3
711,2 màu het luon ha e,3
712,vay chot cho c set trang nha,6
713,set 2 day ko con mau nao luon ha e,3
714,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
715,mẫu nay lay c màu hồng,6
716,lay c bo nay nha,6
717,mau nay còn đen ko shop,3
718,liên hệ tư vấn viên,5
719,nay con đen ko shop,3
720,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
721,lay c set xanh,6
722,shop oi,0
723,set hoa con ko shop,3
724,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
725,sét này màu đen còn ko shop,3
726,chốt cho c màu trắng nha,6
727,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
728,còn trắng ko e,3
729,con màu nude ko e,3
730,mẫu này còn ko shop,3
731,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
732,c đặt bộ nay mau hong,6
733,shop chốt đơn 1 bộ màu hồng cho c nha,6
734,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
735,c đặt bộ màu hồng,6
736,vay chốt cho e mẫu kia nha quần dài nha màu tím luôn,6
737,set vet nay còn ko,3
738,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
739,e đặt mẫu này nè,6
740,ok shop chốt 1 mẫu này,6
741,vay chốt cho c mẫu nay nha,6
742,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long sđtxxxxx,2
743,nếu còn gởi cho c nha,6
744,mẫu này còn ko e,3
745,gởi thêm cho c cái này ne e,6
746,mình muon chốt mẫu nay,6
747,489 tổ 5 ấp mỹ khánh 2 xã mỹ hoà bình minh vĩnh long xxxxx,2
748,alo em ơi,0
749,alo,0
750,cái đầm đỏ này ko phải e,3
751,ship nhầm hàng cho rui,4
752,em ơi,0
753,alo,0
754,tổng là 553k đúng ko em,3
755,màu đỏ em nhé,6
756,alo,0
757,alo,0
758,3 set này nhé,6
759,của c bao nhiu hết,3
760,e coi c bao nhiu,3
761,alo em,0
762,alo,0
763,mẫu này còn ko em,3
764,alo,0
765,liên hệ tư vấn viên,5
766,alo,0
767,mẫu này ko bjk em e còn ko,3
768,liên hệ tư vấn viên,5
769,em ơi,0
770,còn set này ko,3
771,tổng giúp c bao nhiu,3
772,alo,0
773,em ơi hum nay c nhận đc 2 túi hàng cùng lúc lun đơn của chị còn ko vậy em,3
774,100 11 12 an dương vương p9 quận 5 hcm,2
775,100 11 12 an dương vương p9 quận 5,2
776,c chuyển bao nhiu cho e,3
777,vs e kiểm tra giúp c đơn chốt cái áo dài màu hồng vs váy hồng hum qua gọi chốt cho c đi chưa chưa đi thì e gửi chung lun nha,3
778,e ko chốt quần jean cho c hở,3
779,set nâu này đúng ko em,3
780,áo trắng vs chân váy hồng m,6
781,áo vàng vs chân váy đen m,6
782,nếu có áo này dư thì chốt cho c luôn,6
783,quần size m,6
784,alo,0
785,c ơi,0
786,alo shop ơi,0
787,cho em 3 mẫu này vs,6
788,chị ơi,0
789,mẫu này còn c,3
790,set sọc đó còn ko ạ,3
791,c ơi,0
792,em ơi gửi hàng cho chị chưa sao hôm nay vẫn chưa nhận dc,4
793,490k hả oke,3
794,vậy lấy thêm cho chị áo sơ mi với chân váy size l nhe,6
795,cv da size l,2
796,kt dùm 2 mã này còn hàng ko,3
797,áo bra còn ko em,3
798,chân váy da size l,2
799,quần 16 size l còn ko em,3
800,đầm hoa tím,2
801,liên hệ tư vấn viên,5
802,liên hệ tư vấn viên,5
803,đầm này nè em,2
804,1 cv xếp ly xanh hoặc đen,2
805,1 áo thun tím 1 áo thun vàng,2
806,cv đen 100,5
807,liên hệ tư vấn viên,5
808,báo bill qua đây giúp chị,3
809,lấy chị 1 cái jum gửi địa chỉ cũ nhe,6
810,jum đó có 1 màu hả em,3
811,jum họa tiết còn ko em,3
812,jum họa tiết còn ko em,3
813,em ơi kiểm tra dùm chị cái jum này còn hàng ko em,3
814,lấy cho chị 1 cái đầm hoa này với 1 ái hồng hôm qua chốt trên live nhé em,6
815,lấy cho chị 1 cái đầm hoa này với 1 ái hồng hôm qua chốt trên live nhé em,6
816,quần size l nha em,2
817,cả 2 set đều còn hả em,3
818,đầm này còn hàng ko em,3
819,tổng của chị là nhiêu tiền em,3
820,còn chấm bi ko hả em,3
821,dt ko ai nghe máy hết,4
822,gọi chốt đơn cho chị với chị dt quá trời hổng ai nghe máy,4
823,áo chuột trắng,2
824,áo gấu 95k màu hồng,2
825,đầm đỏ,2
826,áo gấu hồng 1,2
827,áo chuô t trắng 1,2
828,đầm đỏ 1,2
829,em ơi đầm này còn ko em,3
830,1 quần jean đen 1 áo chó,2
831,em gửi chị 1 quần này 1 áo chó nha,6
832,còn hả em,3
833,ak size 29,2
834,size l á em,2
835,2 mẫu quần jean này còn hàng ko em,3
836,áo này còn ko em,3
837,em ơi đầm hoa còn hàng ko,3
838,đầm hoa còn hàng ko em,3
839,ql13 khu phố 6 thới hòa bến cát bình dươngxxxxx,2
840,mẫu này còn hàng ko em,3
841,cho chị xin tổng tiền chị ck em luôn,3
842,ql13 khu phố 6 thới hòa bến cát bình dươngxxxxx,2
843,3 set này em nhé quần da size l,2
844,vậy chô t 2 cái quâ n đi em,6
845,lấy chị cái này nữa nhé,6
846,có lấy em,6
847,ko dc chốt hả giờ còn ko,3
848,sau lâu chưa nhận dc,4
849,ql13 khu phố 6 thới hòa bến cát bình dươngxxxxx,2
850,size l,2
851,ql13 khu phố 6 thới hòa bến cát bình dươngxxxxx tinapham ko thấy bên em gọi chốt vậy em gửi địa chỉ này cho chị nhé,2
852,đầm hồng còn ko em ơi,3
853,cho chị đặt cái đầm này nữa nha em,6
854,để chị 1 cái đầm này nhé cmt quá trời 2 mẫu đầu tiên mà bị ẩn hay sao ko nghe đọc tên,6
855,ql13 khu phố 6 thới hòa bến cát bình dươngxxxxx tinapham,2
856,hôm qua em dc chốt cái đầm sao ko thấy ai gọi chốt đơn vâ y chị,4
857,trước set cọ giờ là kính nhé shop,2
858,shop ơi,0
859,và quần này eo 68 mông 93,2
860,áo len và chân váy này eo mình 68 mông 93,2
861,2 áo bra 2 màu size 34,2
862,99 minh thành hàm minh hàm thuận nam bình thuận,2
863,cho mình 2 áo bra này 2 màu size 34 nhé,6
864,sao chưa ai gọi chốt đơn,4
865,cho e mẫu này màu đen,3
866,áo này còn k ạ,3
867,liên hệ tư vấn viên,5
868,còn k ạ,3
869,1 quần size m và 1 áo màu hồng,2
870,màu hồng nhen e,2
871,2 quần luôn hả e,3
872,núi sạn đồng đế nha trang khánh hoà,2
873,c dương bệnh viện lao và bệnh phổi khánh hoà,2
874,c đăt 2 cái này có k e ơi,3
875,size 27,2
876,quần size m,2
877,lấy 1 cái này nha dồn đơn,6
878,c dương bệnh viện lao và bệnh phổi khánh hoà núi sạn đồng đế nha trang,2
879,lấy cái vàng này nha,6
880,vậy mình có đc cái đầm vàng đó k ạ,3
881,shop ơi,0
882,check inbox dùm c đi e ơi,5
883,bệnh viên lao phôi khánh hoà núi sạn đồng đế nha trang c dươngxxxxx,2
884,vây là thiếu 1 hộp mứt và 1 khô gà,4
885,và đơn chị mua hơn 1 tr có tặng khô gà mà chị vẫn chua nhận dc,4
886,mà đơn ck trc dc freeship mà e với bữa có nv chốt cho chị báo là nếu mua mứt chung với quần áo ko mất ship mà,3
887,vậy còn thiếu 1 hộp mứt e,4
888,mà còn 2 hộp nữa bạn lại tính 50k ship riêng,4
889,với đơn cua chị 1 tr mấy sao ko thấy tặng khô gà,4
890,đúng rồi e thiếu 1 hộp mứt,4
891,đơn chị có 3 hộp mứt lại tính phí 75k mà giờ chị vẫn chua nhận dc hộp nào hết,4
892,lúc thì live báo 2 hộp ship 30k 3 hộp thí 60k,4
893,còn nv thì chốt ship 25k 1 hộp,4
894,chị ko đồng ý chịu ship tùm lùm ko rõ ràng nhu vậy,4
895,rồi khi giao hàng lại ko có mứt là sao,4
896,rồi bắt chị chịu phí ship 2 3 lần,4
897,báo mứt chung với quần áo thì ko tính ship giờ lại báo tính ship mứt riêng,4
898,sao bên em chốt lộn xộn tùm lum giá ship vậy,4
899,rồi hộp mứt đâu,4
900,với đơn c 1tr350 có 1 hộp mứt,4
901,sao set này c ko có áo trong kèm theo e,4
902,đon 419 và 1350 c chưa nhận dc,4
903,phuong oi sao tre n live no i mu t 2 ho p phi ship la 30k co n 3 ho p la 60k,4
904,72 đường 15 p4 q8,2
905,nhầm 2 hộp e,2
906,lấy c 1 hộp,6
907,em oi khay mứt con ko e,3
908,con ko e,3
909,đầm con ko e,3
910,giá bn chị ck dồn đơn luôn,3
911,vậy lấy chị size m đi e,6
912,còn ko shop,3
913,này con ko e,3
914,em ơi bill này 489 có dc freeship ko,3
915,mà bill chị e báo chị hôm t6 do chị đi tỉnh nên chua ck e kịp thì e có thể gọi báo là em đi đơn nhận hàng thanh toán hay sao đó chứ sao lại xã đơn vậy,4
916,em ơi bill c bao nhiu tiền vay,3
917,báo tiền bill dùm c,3
918,e oi sao đon 429 chị ck rồi mà chua nhận dc hàng vay,4
919,bn tiền e,3
920,ủa e ơi check xem nhận dc tiền ko sao im ru ko báo gì vay,4
921,túi này còn đen ko e,3
922,bn tiên em chị quên rồi,3
923,mà eo c 74 vào dc ko,3
924,giờ em lấy thêm set đó cho c nha,6
925,lấy tím dồn đơnxxxxx,6
926,con ko shop,3
927,liên hệ tư vấn viên,5
928,còn ko shop,3
929,mình mua sét thổ cẩm cam mà sao giao màu này,4
930,alo shop ơi,0
931,sét thổ cẩm cam nha e,2
932,còn ko shop,3
933,áo tím quần l còn ko shop,3
934,shop,0
935,còn ko shop,3
936,con ko shop,3
937,gọi tông đài hoài ko ai nghe máy,4
938,2 mẫu này mình thấy là 180k 1 set mà,2
939,chị cm vàng mà trang là áo 130k mà,2
940,155 1a đô lương p12 tp vũng tàu,2
941,kiểm tra giúp minh vì mình ve que nên ng nhà nhân dùm gọi hotline nảy giờ ko ai nghe máy,4
942,sao ship giao đến lại là 400k vay,4
943,2 mẫu này mình thấy lúc live giá 180k 180k ship 25k 385k mà,2
944,alo shop oi,0
945,còn ko shop oi,3
946,99a đường tám danh p4 q8,2
947,vay lấy đầm vàng và set nude,6
948,tim giúp minh còn sót 2 set này ko ship chung đầm vàng luon,3
949,mấy mẫu kia còn mẫu nào nữa ko shop,3
950,lấy vàng,6
951,mấy mẫu này còn ko shop,3
952,ship đã đồng ý hnay giao lại mà sáng giờ mình chua thay ship giao,4
953,con ko shop,3
954,hôm kia shiper gọi mình có đi ra ngoài hẹn shiper giao lại mà chưa thấy ship goi lại giao,4
955,mà chưa thấy giao ạ,4
956,alo,0
957,shop oi kiểm tra đơn hàng giúp minh vì chua nhận dc hàng,4
958,gọi lại thì số thuê bao ạ,4
959,áo còn lo shop,3
960,và bạn đó cũng ko yêu cầu chị gửi hình cho bạn nên làm sao chị biết bạn chỉ nói e biết rồi,4
961,vì gửi nhầm nên chị muốn đổi lại thoi chứ ko phải làm khó dễ mà em nc giống như khách sai chứ ko phải bên e,4
962,mình mua áo đen này mà,4
963,lộn áo rồi shop oi,4
964,mà chẳng lẽ giờ có cái áo 115k mà ngồi cãi với e,2
965,hàng bị lỗi nên mới muốn đổi còn áo chị không đặt và khi chốt chị cũng ko có nghe chốt áo vàng,7
966,với cái nude còn hàng đôi ko e,7
967,cái vàng ship dư thì sao e,3
968,tại c thấy nó in phí 40k nên hỏi,2
969,sao lần này phí ship 40k vay shop,3
970,đơn mình bt phí ship 25k,2
971,áo hoa vàng mình ko có đặt,2
972,đầm nude bị dính dây kéo chị muốn đổi cái khác có ko shop chứ ko muốn hoàn tiền,7
973,shop oi thường sg ship có 25k sao bữa nay đơn mình ship 40k vay shop check ib giúp mình thanks,3
974,nay sao 40k shop,3
975,shop oi thường ship bên mình có 25k,3
976,sơ mi hoạ tiết và jum trang thoi,2
977,vay e chốt jum với sơ mi dùm c nha,6
978,ok vay chốt jum áo nha e,6
979,quần jean 210 size l,2
980,áo sơ mi họa tiết,2
981,áo thun trang quan jean size l,2
982,jum trắng,2
983,hàng trùng mẫu ạ,4
984,dạ chị mình xin địa chỉ nhà ban,3
985,cho mình xin địa chỉ gửi tra hàng thanks,3
986,shop oi,0
987,của mình là 1 lv nâu 1 sét hồng 199 1 sét gucci nau,2
988,mình là set lv và gucci nâu mà shop giao 2 bộ lv nâu,4
989,shop oi shop giao nhầm 2 bộ cho mình rồi ạ,4
990,shop oi,0
991,shop oi,0
992,shop oi xxxxx 02513810141 có phải sđt của shop mình ko ạ,3
993,shop oi xxxxx 02513810141 có phải sđt của shop mình ko ạ,3
994,áo khoác hết hả e,3
995,mẫu này con ko shop oi,3
996,bill mình cách đây mấy ngày rồi ko thấy ai gọi chốt,4
997,shop oi,0
998,shop oi minh chia se roi nv chốt đơn roi shop freeship minh nha,2
999,mà bill mình vừa nhận thấy báo là 185k mình ko thay trừ 30k cho minh,3
1000,shop oi đơn minh hom bua bị hàng lỗi shop kêu minh gu i hàng ve cho shop minh trả phí ship 30k nv có báo với minh là sẽ trừ 30k vào bill 185k còn 155k và trả luôn phí ship gu i hàng cho mình,2
1001,mà bill mình vừa nhận thấy báo là 185k mình ko thay trừ 30k cho minh,3
1002,shop oi đơn minh hom bua bị hàng lỗi shop kêu minh gu i hàng ve cho shop minh trả phí ship 30k nv có báo với minh là sẽ trừ 30k vào bill 185k còn 155k và trả luôn phí ship gu i hàng cho mình,2
1003,và hình như chị còn 1 đơn chưa thấy gọi chốt,4
1004,mẫu này còn thì để minh 1c nha shop mình còn 1bill o shop chua chốt,4
1005,mình thật sự cũng ngại ko phải làm khó ma tại nhìn vào ngay trc ngực áo thấy liền thanks shop,4
1006,se t bà ba hồng bị tua chi shop oi,4
1007,shop oi mình có 2 bill vừa giao cùng 1 lúc sáng nay sao tính mình phí ship 2 lần vay,3
1008,vì minh thay nó bạn khách trùng tên,4
1009,minh co 2 bill chốt roi mà chua thay ai giao hàng,4
1010,shop oi,0
1011,đầm hoa 199k đầm họa tiet 150k,2
1012,2 bộ này còn thì ship cho minh nha shop,6
1013,mình đa t se t này mà,4
1014,shop oi,0
1015,72 đường 15 p4 q8xxxxx hôm qua mjnh có chốt dc 1 se t đó shop,2
1016,đàm hoaxxxxx,2
1017,đàm hoaxxxxx,2
1018,nếu có hàng ve cho minh đa t 2bo nay nha,6
1019,72g đường 15 p4 q8 đầm hoa,2
1020,minh muốn mua 2 bộ này,6
1021,shop oi,0
1022,alo,0
1023,72g đường 15 p4 q8 đầm hoa,2
1024,72g đường 15 p4 q8 đầm hoa,2
1025,không thấy ai gọi chốt đơn hết,4
1026,áo này mã 01 mình có chốt hai cái sai l sao không thấy vậy,4
1027,lấy mình mẫu đầm sai l,6
1028,đơn ngày 3 sao kg thấy ai gọi,4
1029,mình chốt hai quần leeging được đọc tên mà mấy lần nhận hàng cũng kg có quần này,4
1030,còn sét nước hoa lấy mình luôn nhé,6
1031,phương nói nhân viên làm việc kiểu này là mất lòng khách hàng đó vì mình bị nhiều lần nên rất bực tức nếu như mà có sđt của phương thì mình sẽ nói rồi đó,4
1032,phương xem có tất cả những mẫu trên là mình có đọc tên mà kg nhận được hàng,4
1033,nước hoa này nữa,2
1034,áo xám và quần sai l nữa,2
1035,đầm này hai cái sai s và m chốt được đọc tên mà không có,4
1036,kg có đầm đỏ mà tính tiền trong đơn rồi đầm nâu s và đen m thì gửi hết sai m lại còn gửi mỗi thứ hai cái nữa,4
1037,trùng hai cái nịt bụng đơn hôm trước nữa,4
1038,xem giải quyết cho chị trong đơn thì chốt áo đầm đỏ mà hàng thì kg có còn mã 01 nâu sai s và đen sai m thì bỏ luôn vào hai đen m và 2 nâu s bực dễ sợ luôn,4
1039,chứ sao chốt nẻo mà gửi hàng nơi vậy bị như vậy hoài trong khi chị lúc nào cũng mua nhiều chứ có phải ít đâu,4
1040,bị trùng đơn em,4
1041,hai cái nịt bụng nữa,2
1042,lúc nãy chị để đt ở nhà đi đón con nên kg nghe máy chị đt lại mấy cuộc luôn mà kg có nhân viên nghe máy phương nói nhân viên gọi lại chốt đơn giúp mình nhé,4
1043,mã này là mã 05 ngày 17 sao chị chưa nhận được đơn ngày 17,4
1044,còn mẫu này ngày 18 sao chị chưa nhận được,4
1045,sao lại huỷ đơn chị vậy phương,4
1046,sai l,2
1047,sai l,2
1048,hai màu,2
1049,em ơi,0
1050,thanh my,2
1051,chị thanh mỹ,2
1052,hi em,0
1053,em có chốt bộ cọ xanh 99k cho chị sao chị k thấy chốt đơn em ơi,4
1054,chị thanh,2
1055,82 tuyên quang bình hưng phan thiết bình thuận xxxxx,2
1056,hi em đầm phương đang cầm lấy chị size l nha em,6
1057,tối hôm qua có đọc tên chị chốt mà em,4
1058,chị lấy size l,6
1059,hi em,0
1060,lấy c đầm này size m nha r,6
1061,lấy cho c size m nha e,6
1062,lây cho c size l nha,6
1063,mẫu này còn ko za e,3
1064,e oi,0
1065,e oi,0
1066,e lấy c thêm đầm này size m nha e,6
1067,e oi,0
1068,đơn của c bao nhiêu za,3
1069,mẫu này bị lỗi đúng ko za e,4
1070,vs cái jum cam nữa nha e,2
1071,1 đầm 1 máy rửa mặt 1 gương 2 quần nha,2
1072,vậy giờ chốt thêm cho c những mẫu này nha e,6
1073,e hỏi bạn lại giúp c nha chưa có jum cam ne,4
1074,vs lấy c thêm mẫu này nữa nha e,6
1075,vs 2 món này luôn,2
1076,lấy c túi màu xanh nha e,6
1077,lấy c 2 món này luôn nha e,6
1078,lấy c 1 cặp quần này nha e,6
1079,bên e còn mẫu túi nhỏ nào ko gửi c xem dc ko ạ,3
1080,e ơi,0
1081,c lấy thêm,6
1082,lấy c đủ màu nha e,6
1083,lấy c đủ màu nha,6
1084,mẫu này còn ko e,3
1085,là có mẫu nào za e,3
1086,đơn này mẫu nào còn za e,3
1087,ah e check coi những mẫu c gửi còn ko nếu còn e tổng đơn c ck thêm cho e nè,3
1088,lấy c 3 mẫu này vs 2 quần này nha e,6
1089,eoi,0
1090,e oi,0
1091,e oi,0
1092,shop oi,0
1093,shop oi,0
1094,lấy c đủ 5 màu luôn nha e,6
1095,lấy c đầm này đủ màu luôn nha e,6
1096,e oi,0
1097,lấy c thêm 2 món này nữa nha e,6
1098,e ơi,0
1099,vậy thêm túi xanh cho c nha,6
1100,e ơi thêm c túi màu xanh nữa nha e,6
1101,shop ơi bên mình còn mẫu này ko ạ,3
1102,cho e chốt thêm mẫu này a,6
1103,đơn của e bao nhiêu za shop,3
1104,dc 122 46 9a bùi đình túy p12 quận bình thạnh,2
1105,nếu còn để e 2 đầm này nha,6
1106,shop còn 2 đầm này ko z,3
1107,shop oi,0
1108,e ơi c vẫn chưa nhận dc hàng luôn nè,4
1109,gọi hottline bên e ko bao giờ dc hết nè,4
1110,hàng đó c ck hết rồi mà,4
1111,sao giao hàng báo thu 170 là sao e,4
1112,e oi,0
1113,còn đơn c ck 905 chưa nhận dc luôn,4
1114,c gọi hottline từ sáng đến giờ mà ko ai nghe máy cả,4
1115,gọi hottline toàn bận ko ah,4
1116,c ck mấy ngày nay mà chưa nhan dc hàng,4
1117,đơn c tc bn za,3
1118,e oi,0
1119,3 đơn của c chốt hôm t6 t7 rồi mà giờ vẫn chưa nhận dc,4
1120,c gọi hottline từ sáng giờ mà ko dc,4
1121,e lấy c 2 hồng 2 xanh nha,6
1122,dc của c 122 46 9a bùi đình túy p12 quận bình thạnh,2
1123,vs 1 bộ này màu nâu nha,2
1124,lấy c 4 bộ này màu hồng nha,6
1125,e oi,0
1126,e ktra đơn ngay 25 12 c đã ck nhung chua nhan dc hàng,4
1127,alô,0
1128,vay e đi đon c tổng mấy đơn,3
1129,bạn ktra đi nhé minh có tổng cộng ba đơn,2
1130,còn nước hoa ko e lay c hai chai c ck luôn,6
1131,ao ngực c lay mau da,6
1132,mau no con e chôt cho c,6
1133,ao ngực,2
1134,con b mau trên ko e,3
1135,đông ho nua e,2
1136,tinh đơn c bao nhiwu e,3
1137,alô,0
1138,hai áo thun áo khoát da hồng bộ váy đen và khoát rin đồng hồ màu đỏ đồ bộ cao cấp v ao lông màu hồng,2
1139,alô,0
1140,bộ nay con ko ư,3
1141,e con bô nay ko cộng đơn c chuyển luôn,3
1142,đầm da áo đen áo khoát len trắng và đen,2
1143,một bộ,2
1144,c lay hai màu,6
1145,69 hồ tùng mậu phương thắng lợi tp kontum,2
1146,e báo giá các món giúp c voi,3
1147,thêm nịt bụng hai màu size m,2
1148,day ngực hai màu lấy c size m,6
1149,đàm c lay size m,6
1150,con hng nay ko e,3
1151,hai mau,2
1152,vay c lay hai nít bụng,6
1153,và nịt bụng,2
1154,e con hng nay ko,3
1155,bso nhiều tien hết,3
1156,alo,0
1157,alo,0
1158,alo,0
1159,lấy c set xanh áo barberi,6
1160,c chuyen tiền rồi sao chưa nhan đc hang,4
1161,liên hệ tư vấn viên,5
1162,lấy c hai mau tren,6
1163,đang đat nâu và đen,6
1164,alo,0
1165,bắt đầu,0
1166,đơn mình có bị sót ko shop sao chốt có 5 món vậy,3
1167,có đầm voan hoa sz s ko shop,3
1168,shop giao nhầm mẫu cho mình rồi,4
1169,shop giao nhầm mẫu cho mình rồi,4
1170,lấy luôn dùm c,6
1171,giao thiếu 2 set mặt nạ,4
1172,shop kt dùm đơn đăng khoa giao thiếu 2 set mặt nạ,4
1173,cho hỏi bill mình còn lại bao nhiêu shop nhé,3
1174,vậy đơn của mình cong bao nhiêu vậy shop,3
1175,m38 giá 185k mà shop,2
1176,tổng bill là 2372k fai ko shop,3
1177,b cộng bill dùm mình ck luôn nhé,3
1178,mình có 2 áo bra 2 màu sz 34,2
1179,mình có 2 áo bra 2 màu sz 34,2
1180,mình còn 2 mau bra sz 34 nữa đó,2
1181,body sọc cam sz m,2
1182,set dạ giao thiếu áo dây đen mình có gửi hình cho shop rồi,4
1183,set da thiếu áo dây tay bị thiếu 1 nút,4
1184,cho hỏi còn mẫu này ko shop,3
1185,bắt đầu,0
1186,bắt đầu,0
1187,hôm qua mình có 4 áo bra sz 32 b để chung đơn với đồng hồ dùm,2
1188,lấy dùm mình luôn nha b,6
1189,cho hỏi còn 2 mẫu này ko shop,3
1190,sao chưa ai gọi chốt đơn,4
1191,áo khoác da sz l,2
1192,mình có mẫu này ko b,3
1193,bắt đầu,0
1194,bắt đầu,0
1195,set trắng hoạ tiết này,2
1196,get started,0
1197,get started,0
1198,mình còn 1 set bbr 3 món,2
1199,get started,0
1200,get started,0
1201,áo hoa nón mickey,2
1202,của mình có mấy món vậy shop,3
1203,sao mình cộng có 1765k shop ơi,3
1204,đầm hồng 80,2
1205,lấy thêm 2 mẫu này dùm mình nha,6
1206,get started,0
1207,set bèo tím,2
1208,quần 215 sz s,2
1209,đầm đen,2
1210,set thổ cẩm cam,2
1211,get started,0
1212,túi chữ b màu hồng nhạt,2
1213,mình còn túi chữ b màu hồng nhạt và 1 áo hoa 130k,2
1214,bill là 805k fai ko b,3
1215,còn set ren 285 nữa shop,2
1216,đầm dây vàng,2
1217,set vàng có 1 set ak shop ơi,2
1218,vàng 230 có 1 set ak shop ơi,2
1219,mình nhớ trên 700 ck đc freeship fai ko shop,3
1220,bill mình bn vậy shop,3
1221,2 quần thun đen vàng,2
1222,hình như còn 2 quần đen vàng,2
1223,shop o i hi nh nhu co n 1 đa m đo da p ly va 1 set vàng 230,2
1224,shop ơi hình như còn 1 đầm đỏ dập ly nữa,2
1225,mình nhớ còn set thun mickey màu tím,2
1226,shop ơi,0
1227,61 hoàng minh đạo p5 q8,2
1228,mình vẫn chưa nhận đc shop kt dùm mình nhé,4
1229,alo,0
1230,mình vẫn chưa nhận đc,4
1231,mình vẫn chưa nhận đc,4
1232,mình vẫn chưa nhận đc,4
1233,đơn hàng 1 tuần vẫn chưa nhận đc tphcm xxxxx,4
1234,liên hệ tư vấn viên,5
1235,đơn hàng 1 tuần vẫn chưa nhận đc,4
1236,shop ơi,0
1237,cho hỏi đơn hàng ngày 25 4 mình chưa đc shop ơi,4
1238,cho hỏi đơn hàng ngày 25 4 mình chưa đc shop ơi,4
1239,cho hỏi mình có set đỏ dập li ko,3
1240,shop ơi còn thiếu set váy dập li đỏ,4
1241,get started,0
1242,đăng khoa sdtxxxxx ngày 5 4 sao chưa nhận đc,4
1243,shop ơi,0
1244,quần ko có khoá kéo,4
1245,shop ơi set vàng bị lỗi rồi,4
1246,vậy tổng là 3 đầm fai ko shop,3
1247,2 đầm 250,2
1248,shop cho hỏi còn dép màu nâu sz 39 ko,3
1249,cho hỏi sdt này fai của shop ko nhé,3
1250,dép xanh sz 38,2
1251,cho hỏi shop còn túi chữ b màu vàng ko,3
1252,shop kt dùm đơn hàng ngày 17 3 va 20 3 đã chuyển khoản rồi mà chưa nhận đc,4
1253,đăng khoaxxxxx,2
1254,đăng khoaxxxxx,2
1255,shop kt dùm đơn hàng ngày 17 3 đã chuyển khoảng rồi mà chưa nhận đc,4
1256,bắt đầu,0
1257,đăng khoaxxxxx,2
1258,shop ơi kiểm tra đơn hàng dùm 3 ngày vẫn chưa nhận đc,4
1259,còn set mickey này nữa nè shop,2
1260,váy da shop đổi dùm mình sz m nha p nói form vây hơi nhỏ,7
1261,mình nhớ còn đầm maxi hồng,2
1262,set đỏ lửng,2
1263,tên là huynh thi kim ngan,2
1264,lấy luôn nha s,6
1265,còn áo len chuột vàng e kiếm ko có hình s ơi p xóa live rồi ko xem đc,2
1266,1 áo len chuột vàng,2
1267,màu đen,2
1268,áo khoác hồng sz l,2
1269,shop ơi mình có đặt mấy mẫu này sao chưa thấy ai chốt,4
1270,minh ko lay nc hoa nua minh lay do dc ko p,6
1271,p gui nc hoa thieu minh mua 7 chai con ngua ma gui co ha chai ak con thieu 5 chai nua nha p,4
1272,uh mình lấy nha,6
1273,bao nhiêu,3
1274,bạn còn túi đá k,3
1275,56 kí 1m45 vừa k,3
1276,ao rin này bn,3
1277,shop này hỏi k thây tra loi lun vay,4
1278,mấy đồ này dưới 55 kí 1m45 vưa k e,3
1279,giao chi ao so mi 04 luon nha,6
1280,so dt chixxxxx,2
1281,chi dat dam 18m cam va set 23 m nha shop,6
1282,ap long loi xa long hung chau thanh tien giang,2
1283,cong ty tnhh co khi minh huy,2
1284,sao chi dat luc livestream ma ko duoc chot don hang e,4
1285,liên hệ tư vấn viên,5
1286,chi dat dam hoa 139k luc toi co ko e,3
1287,liên hệ admin,5
1288,dam hoa hong 149k con ko shop,3
1289,liên hệ tư vấn viên,5
